team,avg_xg,avg_xga,possession,def_height,games
Albania,0.7278702796666666,1.4200364033333333,35.41352817704669,47.8993395167609,3
Algeria,1.2937941989,1.2615812877666668,68.36246561796804,58.91843127047135,3
Angola,1.333232278,1.0271930294999998,45.813700596884566,51.43669844058034,5
Argentina,2.835932166516667,1.43017216415,57.5882561481274,57.0819767861096,13
Australia,0.3945428764249999,1.610350017,38.32607953165691,56.254090426863726,4
Austria,1.52873562875,1.433835201125,52.74630257989563,60.81860765786669,4
Belgium,1.164907645341667,1.1964311442541666,55.93430576476386,55.88960418659224,7
Bolivia,0.3312950066333333,2.022068598266667,43.79701573692424,50.37794048787581,3
Brazil,2.54923109287,1.342046543665,57.77713318485591,60.84582200986513,9
Burkina Faso,1.21272608195,1.0159314312,48.98958791138902,58.203893482878286,4
Cameroon,0.8605668022416666,1.4922504642583334,50.52989934342845,55.835347969201,7
Canada,1.9515055639166667,2.000810909075,50.021168921829045,60.34439558138058,9
Cape Verde,2.1450382826,1.70821244668,53.455701199869885,54.32392802404922,5
Chile,0.5365871371666667,1.3869431266666667,48.87781363388387,56.71400345187055,3
Colombia,1.55864290785,0.6243214844666667,54.3980800105436,59.39985726106334,6
D.R. Congo,3.417599455571428,2.481314656042857,45.61214996437822,58.29128546652037,7
Costa Rica,0.2846992571666666,2.302522149666667,32.09442512984021,46.68716290205639,6
Croatia,1.9113486729928573,1.7207205837119046,55.02171299139873,58.97173446714718,10
Czech Republic,1.5301805507,1.4116590710666668,40.39672771152792,55.82121800030637,3
Ivory Coast,1.6460865918857142,1.5478097740857142,58.22699544862922,58.585294043233546,7
Denmark,1.01574244675,1.1634746248375,56.810789836572425,62.13953434553446,7
Ecuador,1.6256789014208333,1.3818687871666666,47.77392965995034,56.72657104855583,7
Egypt,3.330353129475,2.54697412,57.01752719747235,57.23231547084941,4
England,1.623012162542857,1.058640276355714,58.986831324539885,61.19991962701258,12
Equatorial Guinea,1.039582673,1.587119666125,45.60182029033935,49.17313809741282,4
France,2.077615938008333,1.564588736142857,50.91777680315684,55.43863889908992,13
Gambia,0.853120406,1.842121873333333,40.84053434156903,49.66057320407656,3
Georgia,1.05426521775,2.597432098225,34.16601091324274,42.88652608004397,4
Germany,2.24441640669,0.9048701693166666,60.83576327705247,65.90738250555151,8
Ghana,1.176718092116667,1.7607734940833333,42.62177735405561,52.35721677973825,6
Guinea,1.07888678818,0.93702876,49.59822589502421,54.67873649901971,5
Guinea-Bissau,0.6384971793333334,1.1517352023333334,46.12020924908128,55.59832223461672,3
Hungary,1.1106306666666663,1.254332423,41.07241987303515,52.34398999950858,3
Iran,1.2768021627666666,1.2574825123333333,37.29079556217488,51.76986486983842,3
Italy,0.8260620707499999,1.0385171968,53.47425735084923,55.96546398997452,4
Jamaica,0.702830348,1.7387717429333334,47.23879365882863,51.984153005464485,3
Japan,1.8458926285,1.95337437975,36.0306739761692,57.303207981618776,4
Mali,1.17036641554,0.97469292958,57.79681802585744,56.84740849488736,5
Mauritania,0.933063722775,1.4846399434,36.86453273552771,48.21243985146685,4
Mexico,1.2526132401666668,0.748315139,56.71559973147684,57.47683346578314,6
