team,avg_xg,avg_xga,possession,def_height,games
Algeria,1.2937941989,1.2615812877666668,68.36246561796804,58.91843127047135,3
Angola,1.333232278,1.0271930294999998,45.813700596884566,51.436698440580344,5
Burkina Faso,1.21272608195,1.0159314312,48.98958791138902,58.203893482878286,4
Cameroon,0.69888578775,1.13689070085,58.51004905663336,57.36908996267838,4
Cape Verde Islands,2.1450382826,1.70821244668,53.455701199869885,54.32392802404922,5
Congo DR,3.417599455571428,2.481314656042857,45.61214996437822,58.29128546652037,7
Côte d'Ivoire,1.6460865918857142,1.5478097740857142,58.22699544862922,58.585294043233546,7
Egypt,3.3303531294749997,2.54697412,57.01752719747235,57.23231547084941,4
Equatorial Guinea,1.039582673,1.587119666125,45.60182029033935,49.17313809741282,4
Gambia,0.853120406,1.8421218733333333,40.84053434156903,49.66057320407656,3
Ghana,1.2356850913333333,1.8211387686333333,43.359500324056825,54.92000432430246,3
Guinea,1.07888678818,0.9370287599999999,49.598225895024214,54.67873649901971,5
Guinea-Bissau,0.6384971793333334,1.1517352023333334,46.120209249081284,55.598322234616724,3
Mali,1.17036641554,0.97469292958,57.79681802585744,56.84740849488736,5
Mauritania,0.933063722775,1.4846399434,36.86453273552771,48.212439851466854,4
Morocco,1.966708662925,0.7506994692,54.905939009378955,63.53342062626577,4
Mozambique,0.8662770405,1.4571343134333332,50.01008353208082,53.669859704889724,3
Namibia,0.9263853988999999,1.33826171225,43.48997226572236,55.99826004895202,4
Nigeria,1.9531475021714286,1.264685681342857,43.25149142377194,57.400928381247475,7
Senegal,2.2825030853249997,1.7120499765000001,51.4712362237308,55.27550699300699,4
South Africa,2.7486257435142853,3.4315774647285715,51.859123331730714,52.649092781009834,7
Tanzania,0.15361677853333333,1.2521723863666667,50.84783968970195,50.32516926468273,3
Tunisia,0.8061420352,0.9920861154666666,51.58504038162223,53.606827466057915,3
Zambia,0.4445259733,1.8313724563333336,44.41659068774424,55.21232573543737,3
