Match,Home Team,Away Team,Host City,Stage,Date,Group / Knockout
1,Mexico,South Africa,Mexico City,Group Stage,2026-06-11 15:00:00,Group A
2,South Korea,Czech Republic,Guadalajara,Group Stage,2026-06-11 22:00:00,Group A
3,Canada,Bosnia & Herzegovina,Toronto,Group Stage,2026-06-12 15:00:00,Group B
4,USA,Paraguay,Los Angeles,Group Stage,2026-06-12 21:00:00,Group D
5,Qatar,Switzerland,San Francisco Bay Area,Group Stage,2026-06-13 15:00:00,Group B
6,Brazil,Morocco,New York/New Jersey,Group Stage,2026-06-13 18:00:00,Group C
7,Haiti,Scotland,Boston,Group Stage,2026-06-13 21:00:00,Group C
8,Australia,Turkey,Vancouver,Group Stage,2026-06-14 00:00:00,Group D
9,Germany,Curacao,Houston,Group Stage,2026-06-14 13:00:00,Group E
10,Netherlands,Japan,Dallas,Group Stage,2026-06-14 16:00:00,Group F
11,Ivory Coast,Ecuador,Philadelphia,Group Stage,2026-06-14 19:00:00,Group E
12,Sweden,Tunisia,Monterrey,Group Stage,2026-06-14 22:00:00,Group F
13,Spain,Cape Verde,Atlanta,Group Stage,2026-06-15 12:00:00,Group H
14,Belgium,Egypt,Seattle,Group Stage,2026-06-15 15:00:00,Group G
15,Saudi Arabia,Uruguay,Miami,Group Stage,2026-06-15 18:00:00,Group H
16,Iran,New Zealand,Los Angeles,Group Stage,2026-06-15 21:00:00,Group G
17,France,Senegal,New York/New Jersey,Group Stage,2026-06-16 15:00:00,Group I
18,Iraq,Norway,Boston,Group Stage,2026-06-16 18:00:00,Group I
19,Argentina,Algeria,Kansas City,Group Stage,2026-06-16 21:00:00,Group J
20,Austria,Jordan,San Francisco Bay Area,Group Stage,2026-06-17 00:00:00,Group J
21,Portugal,D.R. Congo,Houston,Group Stage,2026-06-17 13:00:00,Group K
22,England,Croatia,Dallas,Group Stage,2026-06-17 16:00:00,Group L
23,Ghana,Panama,Toronto,Group Stage,2026-06-17 19:00:00,Group L
24,Uzbekistan,Colombia,Mexico City,Group Stage,2026-06-17 22:00:00,Group K
25,Czech Republic,South Africa,Atlanta,Group Stage,2026-06-18 12:00:00,Group A
26,Switzerland,Bosnia & Herzegovina,Los Angeles,Group Stage,2026-06-18 15:00:00,Group B
27,Canada,Qatar,Vancouver,Group Stage,2026-06-18 18:00:00,Group B
28,Mexico,South Korea,Guadalajara,Group Stage,2026-06-18 21:00:00,Group A
29,USA,Australia,Seattle,Group Stage,2026-06-19 15:00:00,Group D
30,Scotland,Morocco,Boston,Group Stage,2026-06-19 18:00:00,Group C
31,Brazil,Haiti,Philadelphia,Group Stage,2026-06-19 21:00:00,Group C
32,Turkey,Paraguay,San Francisco Bay Area,Group Stage,2026-06-20 00:00:00,Group D
33,Netherlands,Sweden,Houston,Group Stage,2026-06-20 13:00:00,Group F
34,Germany,Ivory Coast,Toronto,Group Stage,2026-06-20 16:00:00,Group E
35,Ecuador,Curacao,Kansas City,Group Stage,2026-06-20 20:00:00,Group E
36,Tunisia,Japan,Monterrey,Group Stage,2026-06-21 00:00:00,Group F
