Date,Home,Away,HomeGoals,AwayGoals,PrestigeWeight
2022-01-05,Algeria,Ghana,3,0,0.8760371697255752
2022-01-09,Ethiopia,Cape Verde,0,1,0.6062235697527452
2022-01-10,Morocco,Ghana,1,0,0.9770475343528037
2022-01-10,Senegal,Zimbabwe,1,0,0.7372951434860155
2022-01-11,Nigeria,Egypt,1,0,1.193002282399411
2022-01-11,Algeria,Sierra Leone,0,0,0.7297329421094653
2022-01-12,Equatorial Guinea,Ivory Coast,0,1,0.7504386943339729
2022-01-12,Tunisia,Mali,0,1,0.9029984456864233
2022-01-13,Cape Verde,Burkina Faso,0,1,0.7730133093842564
2022-01-14,Morocco,Comoros,2,0,0.8179555215352023
2022-01-14,Senegal,Guinea,0,0,0.9125542509058824
2022-01-15,Guinea Bissau,Egypt,0,1,0.6972839700610556
2022-01-15,South Korea,Iceland,5,1,0.8847541721832185
2022-01-16,Colombia,Honduras,2,1,0.9954262144171592
2022-01-16,Ivory Coast,Sierra Leone,2,2,0.7152813538465342
2022-01-16,Algeria,Equatorial Guinea,0,1,0.7671791632781286
2022-01-16,Tunisia,Mauritania,4,0,0.7016556992206454
2022-01-16,Peru,Panama,1,1,0.954054959898289
2022-01-17,Cape Verde,Cameroon,1,1,0.8286482044045096
2022-01-18,Gabon,Morocco,2,2,0.9077386275770032
2022-01-18,Malawi,Senegal,0,0,0.7450974257757151
2022-01-19,Egypt,Sudan,1,0,0.732227762864345
2022-01-20,Ivory Coast,Algeria,3,1,1.1236389223121717
2022-01-20,Gambia,Tunisia,1,0,0.6994595883589398
2022-01-21,Moldova,South Korea,0,4,0.6522494293145021
2022-01-21,Bolivia,Trinidad and Tobago,5,0,0.663151289022623
2022-01-21,Iraq,Uganda,1,0,0.7347483478155385
2022-01-21,Peru,Jamaica,3,0,0.7945327015720809
2022-01-23,Nigeria,Tunisia,0,1,1.0574834988213508
2022-01-25,Morocco,Malawi,2,1,0.7614751498562522
2022-01-26,Ivory Coast,Egypt,0,0,1.1146854814398175
2022-01-27,Ecuador,Brazil,1,1,1.6429472520712032
2022-01-27,Japan,China,2,0,0.8360141110798632
2022-01-27,Paraguay,Uruguay,0,1,1.1718855291049701
2022-01-27,Lebanon,South Korea,0,1,0.7671791632781286
2022-01-27,Australia,Vietnam,4,0,0.7882016628162863
2022-01-27,Iran,Iraq,1,0,1.0017868300266717
2022-01-27,Saudi Arabia,Oman,1,0,0.7477537530094537
