Team,Player,Position,Age,Matches ,Starts,Minutes,90s played,Goals,Assists,Goals + Asists,Non Penalty Goals,Penalty Kicks Scored,Penalties Attenmpted,Yellows,Reds,Goals.1,Assists.1,Goals and Assits,Goals minus penalty kicks,Non penalty goals and assists
Algeria,Aïssa Mandi,DF,34,10,10,823,9.1,1,0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11
Algeria,Riyad Mahrez,"FW,MF",34,8,8,520,5.8,1,4,5,1,0,0,0,0,0.17,0.69,0.87,0.17,0.87
Algeria,Mohamed Amoura,FW,25,10,7,742,8.2,10,4,14,8,2,2,1,0,1.21,0.49,1.7,0.97,1.46
Algeria,Youcef Atal,DF,29,8,7,532,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Amine Gouiri,"FW,MF",25,9,7,525,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34
Algeria,Hicham Boudaoui,MF,26,8,6,581,6.5,0,1,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15
Algeria,Ramy Bensebaini,DF,30,6,6,540,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Algeria,Rayan Aït-Nouri,DF,24,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Fares Chaïbi,MF,23,8,5,450,5.0,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4
Algeria,Alexis Guendouz,GK,30,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Nabil Bentaleb,MF,31,7,5,416,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Mohamed Amine Tougai,DF,26,5,4,437,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Anthony Mandrea,GK,29,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Jaouen Hadjam,DF,22,5,4,337,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27
Algeria,Ramiz Zerrouki,MF,27,5,3,297,3.3,1,0,1,1,0,0,0,0,0.3,0.0,0.3,0.3,0.3
Algeria,Saïd Benrahma,"FW,MF",30,6,3,276,3.1,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33
Algeria,Baghdad Bounedjah,FW,34,5,3,256,2.8,3,1,4,3,0,0,2,0,1.05,0.35,1.41,1.05,1.41
Algeria,Houssem Aouar,MF,27,4,3,241,2.7,1,0,1,1,0,0,1,0,0.37,0.0,0.37,0.37,0.37
Algeria,Yassine Benzia,MF,31,4,2,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Adem Zorgane,MF,26,2,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Rafik Belghali,DF,23,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Ibrahim Maza,MF,20,3,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Ahmed Kendouci,MF,26,3,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Mohamed Amine Madani,DF,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Yasser Larouci,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Luca Zidane,GK,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Ismaël Bennacer,MF,28,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Sofiane Feghouli,MF,36,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Yacine Brahimi,MF,35,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Islam Slimani,FW,37,2,1,39,0.4,1,0,1,1,0,0,0,0,2.31,0.0,2.31,2.31,2.31
Algeria,Youcef Belaïli,"FW,MF",33,4,0,94,1.0,0,1,1,0,0,0,0,0,0.0,0.96,0.96,0.0,0.96
Algeria,Anis Hadj Moussa,"FW,MF",23,3,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Algeria,Adam Ounas,"FW,MF",29,2,0,62,0.7,0,1,1,0,0,0,0,0,0.0,1.45,1.45,0.0,1.45
Algeria,Kévin Van Den Kerkhof,"DF,MF",29,2,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Ahmed Touba,DF,27,2,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Monsef Bakrar,FW,25,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Samir Chergui,DF,26,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Mehdi Dorval,"DF,MF",24,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Ilan Kebbal,"FW,MF",27,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Amin Chiakha,FW,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Zineddine Belaid,DF,26,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Algeria,Squad Total,,28.6,10,110,900,10.0,22,14,36,20,2,2,16,0,2.2,1.4,3.6,2.0,3.4
