,Round of 32,Round of 16,Semi-finals,Group Stage,Quarter-finals,Winner,Final
France,18.56,18.38,13.42,1.13,16.68,21.2,10.62
Argentina,21.98,20.74,13.39,2.65,17.44,14.68,9.12
Portugal,23.66,21.67,13.45,1.12,17.75,13.32,9.02
Spain,26.3,23.12,13.33,1.68,18.52,9.01,8.04
Colombia,27.35,23.91,12.79,1.1,18.65,8.26,7.94
Brazil,30.25,25.76,11.89,0.54,18.77,5.92,6.87
Austria,31.34,25.1,9.92,7.78,16.78,4.1,4.99
Germany,34.56,26.54,10.42,1.06,18.05,3.86,5.5
Croatia,36.58,26.31,9.49,3.34,16.74,3.19,4.35
Japan,33.28,25.31,8.56,10.18,15.47,3.02,4.18
Nethernlands,34.48,24.9,8.72,8.94,16.42,2.34,4.2
Belgium,36.94,26.28,8.59,5.47,16.32,2.34,4.06
Ecuador,38.89,25.44,7.36,7.92,14.77,2.17,3.45
Switzlernad,41.93,28.96,7.56,1.17,16.06,1.41,2.91
England,42.19,26.57,6.27,7.38,14.19,1.1,2.3
Morocco,44.97,27.34,5.58,5.44,13.72,0.95,2.01
Uruguay,41.86,24.09,4.77,15.17,11.88,0.66,1.56
Senegal,39.73,22.04,3.76,22.8,9.9,0.51,1.27
Ivory Coast,47.44,24.82,3.84,11.86,10.52,0.34,1.18
Algeria,36.42,20.72,3.08,29.24,9.22,0.33,1.0
Paraguay,41.56,21.4,3.18,23.42,9.14,0.32,0.99
Australia,42.23,22.19,3.46,21.28,9.59,0.25,1.01
Mexico,46.72,21.64,2.32,20.77,7.85,0.15,0.55
Egypt,45.26,19.71,1.98,25.3,7.17,0.12,0.46
Norway,41.06,19.98,2.34,28.66,7.28,0.12,0.57
South Africa,46.85,19.14,1.62,26.16,5.86,0.06,0.31
USA,38.9,14.67,1.15,41.04,4.01,0.05,0.18
Turkey,39.95,15.63,1.1,38.28,4.79,0.05,0.2
Tunisia,32.96,12.79,0.92,49.23,3.86,0.04,0.2
Scotland,49.93,16.66,0.9,27.7,4.62,0.03,0.16
Korea,44.14,16.18,0.86,34.28,4.34,0.03,0.17
Uzbekistan,41.56,14.56,0.86,38.94,3.92,0.03,0.12
Canada,52.28,15.52,0.65,27.84,3.56,0.02,0.14
Iran,37.77,12.81,0.62,45.34,3.32,0.02,0.12
Czech Republic,40.91,12.7,0.53,42.96,2.81,0.0,0.1
Bosnia,51.82,11.44,0.22,34.54,1.96,,0.02
Cape Verde,29.77,7.12,0.2,61.39,1.5,,0.02
Congo DR,2.9,0.19,,96.91,,,
Curacao,3.84,0.48,,95.67,0.02,,
Ghana,23.01,3.76,0.05,72.79,0.39,,0.0
Haiti,2.99,0.14,,96.86,0.01,,
Iraq,11.58,1.66,0.01,86.58,0.17,,
Jordan,9.37,2.09,0.04,88.06,0.43,,0.0
New Zealand,29.54,7.42,0.18,61.46,1.37,,0.03
Panama,32.0,6.92,0.13,59.66,1.28,,0.01
Qatar,23.48,2.34,,74.01,0.16,,
Saudi Arabia,22.97,4.15,0.07,72.32,0.49,,0.0
Sweden,25.94,8.75,0.44,62.6,2.23,,0.05
